Probe,Female CBZ C1,Female CBZ C2,Female CBZ C3,Female CBZ L1,Female CBZ L2,Female CBZ  L3,Female CBZ H1,Female CBZ H2,Female CBZ H3
A_15_P100912,0,0,0,1,1,1,1,1,1
A_15_P100913,0,0,0,1,1,1,1,1,1
A_15_P100914,0,0,0,1,1,1,1,1,1
A_15_P100916,0,0,0,1,1,1,1,1,1
A_15_P100918,0,0,0,1,1,1,1,1,1
A_15_P100919,0,0,0,1,1,1,1,1,1
A_15_P100920,0,0,0,1,1,1,1,1,1
A_15_P100921,0,0,0,1,1,1,1,1,1
A_15_P100925,0,0,0,1,1,1,1,1,1
A_15_P100927,0,0,0,1,1,1,1,1,1
A_15_P100931,0,0,0,1,1,1,1,1,1
A_15_P100935,0,0,0,1,1,1,1,1,1
A_15_P100937,0,0,0,1,1,1,1,1,1
A_15_P100939,0,0,0,1,1,1,1,1,1
A_15_P100941,0,0,0,1,1,1,1,1,1
A_15_P100942,0,0,0,1,1,1,1,1,1
A_15_P100943,0,0,0,1,1,1,1,1,1
A_15_P100944,0,0,0,1,1,1,1,1,1
A_15_P100945,0,0,0,1,1,1,1,1,1
A_15_P100946,0,0,0,1,1,1,1,1,1
A_15_P100949,0,0,0,1,1,1,1,1,1
A_15_P100952,0,0,0,1,1,1,1,1,1
A_15_P100953,0,0,0,1,1,1,1,1,1
A_15_P100957,0,0,0,1,1,1,1,1,1
A_15_P100958,0,0,0,1,1,1,1,1,1
A_15_P100959,0,0,0,1,1,1,1,1,1
A_15_P100960,0,0,0,1,1,1,1,1,1
A_15_P100961,0,0,0,1,1,1,1,1,1
A_15_P100962,0,0,0,1,1,1,1,1,1
A_15_P100963,0,0,0,1,1,1,1,1,1
A_15_P100964,0,0,0,1,1,1,1,1,1
A_15_P100966,0,0,0,1,1,1,1,1,1
A_15_P100968,0,0,0,1,1,1,1,1,1
A_15_P100969,0,0,0,1,1,1,1,1,1
A_15_P100971,0,0,0,1,1,1,1,1,1
A_15_P100972,0,0,0,1,1,1,1,1,1
A_15_P100973,0,0,0,1,1,1,1,1,1
A_15_P100974,0,0,0,1,1,1,1,1,1
A_15_P100975,0,0,0,1,1,1,1,1,1
A_15_P100976,0,0,0,1,1,1,1,1,1
A_15_P100977,0,0,0,1,1,1,1,1,1
A_15_P100980,0,0,0,1,1,1,1,1,1
A_15_P100981,0,0,0,1,1,1,1,1,1
A_15_P100982,0,0,0,1,1,1,1,1,1
A_15_P100984,0,0,0,1,1,1,1,1,1
A_15_P100990,0,0,0,1,1,1,1,1,1
A_15_P100991,0,0,0,1,1,1,1,1,1
A_15_P100994,0,0,0,1,1,1,1,1,1
A_15_P100995,0,0,0,1,1,1,1,1,1
A_15_P100999,0,0,0,1,1,1,1,1,1
A_15_P101000,0,0,0,1,1,1,1,1,1
A_15_P101001,0,0,0,1,1,1,1,1,1
A_15_P101002,0,0,0,1,1,1,1,1,1
A_15_P101004,0,0,0,1,1,1,1,1,1
A_15_P101005,0,0,0,1,1,1,1,1,1
A_15_P101010,0,0,0,1,1,1,1,1,1
A_15_P101012,0,0,0,1,1,1,1,1,1
A_15_P101015,0,0,0,1,1,1,1,1,1
A_15_P101016,0,0,0,1,1,1,1,1,1
A_15_P101017,0,0,0,1,1,1,1,1,1
A_15_P101018,0,0,0,1,1,1,1,1,1
A_15_P101019,0,0,0,1,1,1,1,1,1
A_15_P101020,0,0,0,1,1,1,1,1,1
A_15_P101021,0,0,0,1,1,1,1,1,1
A_15_P101025,0,0,0,1,1,1,1,1,1
A_15_P101026,0,0,0,1,1,1,1,1,1
A_15_P101027,0,0,0,1,1,1,1,1,1
A_15_P101028,0,0,0,1,1,1,1,1,1
A_15_P101031,0,0,0,1,1,1,1,1,1
A_15_P101034,0,0,0,1,1,1,1,1,1
A_15_P101038,0,0,0,1,1,1,1,1,1
